x1,x2,x3,x4,x5,x6,x7
1,2,3,4,5,6,7
881,1091,1301,1511,1721,1931,2141
1061,1901,2741,3581,4421,5261,6101
1091,1301,1511,1721,1931,2141,2351
1811,3701,5591,7481,9371,11261,13151
1931,3191,4451,5711,6971,8231,9491
53,1103,2153,3203,4253,5303,6353
193,613,1033,1453,1873,2293,2713
1453,1663,1873,2083,2293,2503,2713
1723,3613,5503,7393,9283,11173,13063
1753,2593,3433,4273,5113,5953,6793
7,157,307,457,607,757,907
47,257,467,677,887,1097,1307
1637,2267,2897,3527,4157,4787,5417
179,389,599,809,1019,1229,1439
199,409,619,829,1039,1249,1459
359,1619,2879,4139,5399,6659,7919
409,619,829,1039,1249,1459,1669
619,829,1039,1249,1459,1669,1879
829,1039,1249,1459,1669,1879,2089
1279,2749,4219,5689,7159,8629,10099
1279,3169,5059,6949,8839,10729,12619
1289,2969,4649,6329,8009,9689,11369
1319,2999,4679,6359,8039,9719,11399
1619,2039,2459,2879,3299,3719,4139
1879,3769,5659,7549,9439,11329,13219
